Player 1,Player 2,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
J Charles, MN Samuels,2011-2016,2011,2016,9,0,126,32,14,0,0,West Indies
KA Pollard, D Ramdin,2008-2018,2008,2018,8,0,118,68,14.75,0,1,West Indies
DJ Bravo, D Ramdin,2006-2016,2006,2016,6,1,116,41,23.2,0,0,West Indies
DM Bravo, LMP Simmons,2011-2013,2011,2013,2,0,115,99,57.5,0,1,West Indies
DJ Bravo, DR Smith,2007-2012,2007,2012,4,0,112,77,28,0,1,West Indies
DJ Bravo, CH Gayle,2009-2016,2009,2016,5,0,110,83,22,0,1,West Indies
DM Bravo, ADS Fletcher,2011-2014,2011,2014,3,0,110,88,36.66,0,1,West Indies
KA Pollard, MN Samuels,2012-2017,2012,2017,8,1,110,37*,15.71,0,0,West Indies
D Ramdin, DJG Sammy,2010-2015,2010,2015,8,3,107,29*,21.4,0,0,West Indies
AD Russell, LMP Simmons,2014-2016,2014,2016,5,1,105,80*,26.25,0,1,West Indies
ADS Fletcher, KA Pollard,2010-2016,2010,2016,5,0,104,37,20.8,0,0,West Indies
ADS Fletcher, R Powell,2018-2018,2018,2018,3,0,104,58,34.66,0,1,West Indies
RR Sarwan, LMP Simmons,2009-2009,2009,2009,2,0,102,60,51,0,1,West Indies
ADS Fletcher, D Ramdin,2014-2018,2014,2018,3,0,98,70,32.66,0,1,West Indies
JN Mohammed, MN Samuels,2017-2018,2017,2018,5,1,96,65*,24,0,1,West Indies
D Ramdin, AD Russell,2014-2018,2014,2018,4,3,96,47*,96,0,0,West Indies
LMP Simmons, DR Smith,2012-2015,2012,2015,6,0,95,48,15.83,0,0,West Indies
CH Gayle, AD Russell,2012-2016,2012,2016,2,1,92,70*,92,0,1,West Indies
RS Morton, D Ramdin,2007-2010,2007,2010,2,0,89,73,44.5,0,1,West Indies
DM Bravo, J Charles,2013-2013,2013,2013,1,0,88,88,88,0,1,West Indies
CH Gayle, XM Marshall,2008-2009,2008,2009,3,0,88,63,29.33,0,1,West Indies
SD Hope, N Pooran,2018-2018,2018,2018,2,0,88,47,44,0,0,West Indies
DM Bravo, N Pooran,2018-2018,2018,2018,1,1,87,87*,-,0,1,West Indies
AD Russell, DJG Sammy,2012-2016,2012,2016,9,2,84,31,12,0,0,West Indies
JN Mohammed, D Ramdin,2018-2018,2018,2018,2,0,79,44,39.5,0,0,West Indies
CR Brathwaite, SP Narine,2016-2017,2016,2017,3,0,78,38,26,0,0,West Indies
E Lewis, AD Russell,2016-2016,2016,2016,1,0,78,78,78,0,1,West Indies
DJG Sammy, MN Samuels,2011-2016,2011,2016,7,1,78,34,13,0,0,West Indies
CR Brathwaite, R Powell,2017-2018,2017,2018,5,0,76,26,15.2,0,0,West Indies
DJ Bravo, AD Russell,2012-2016,2012,2016,6,1,76,22,15.2,0,0,West Indies
E Lewis, JN Mohammed,2017-2017,2017,2017,1,0,76,76,76,0,1,West Indies
D Ramdin, LMP Simmons,2014-2014,2014,2014,1,0,73,73,73,0,1,West Indies
CR Brathwaite, MN Samuels,2016-2017,2016,2017,3,1,72,54*,36,0,1,West Indies
CR Brathwaite, JO Holder,2017-2017,2017,2017,3,0,71,37,23.66,0,0,West Indies
N Deonarine, DJG Sammy,2010-2010,2010,2010,3,1,69,40*,34.5,0,0,West Indies
CR Brathwaite, KA Pollard,2015-2017,2015,2017,5,0,68,31,13.6,0,0,West Indies
SO Hetmyer, SD Hope,2018-2018,2018,2018,4,0,67,51,16.75,0,1,West Indies
DJ Bravo, JE Taylor,2016-2016,2016,2016,1,0,66,66,66,0,1,West Indies
CD Barnwell, DP Hyatt,2011-2011,2011,2011,3,1,65,50*,32.5,0,1,West Indies
R Powell, AD Russell,2018-2018,2018,2018,2,1,60,41*,60,0,0,West Indies
CH Gayle, D Ramdin,2009-2016,2009,2016,2,0,57,46,28.5,0,0,West Indies
KA Pollard, RR Sarwan,2008-2010,2008,2010,6,1,56,27*,11.2,0,0,West Indies
CH Gayle, RR Sarwan,2008-2010,2008,2010,5,0,55,27,11,0,0,West Indies
XM Marshall, WKD Perkins,2008-2008,2008,2008,1,0,53,53,53,0,1,West Indies
ADS Fletcher, RR Sarwan,2009-2010,2009,2010,3,0,51,34,17,0,0,West Indies
SP Narine, JE Taylor,2015-2016,2015,2016,2,0,50,25,25,0,0,West Indies
DJG Sammy, JE Taylor,2008-2010,2008,2010,4,2,49,30*,24.5,0,0,West Indies
DJ Bravo, SP Narine,2012-2016,2012,2016,3,0,48,47,16,0,0,West Indies
DM Bravo, D Ramdin,2018-2018,2018,2018,2,0,47,32,23.5,0,0,West Indies
ADS Fletcher, DS Smith,2009-2009,2009,2009,1,0,46,46,46,0,0,West Indies
ADS Fletcher, CAK Walton,2014-2018,2014,2018,7,0,46,26,6.57,0,0,West Indies
AR Nurse, JE Taylor,2017-2018,2017,2018,3,0,45,28,15,0,0,West Indies
R Powell, D Ramdin,2018-2018,2018,2018,1,0,45,45,45,0,0,West Indies
CR Brathwaite, AD Russell,2016-2018,2016,2018,2,0,44,32,22,0,0,West Indies
XM Marshall, RR Sarwan,2008-2008,2008,2008,1,0,44,44,44,0,0,West Indies
DJG Sammy, LMP Simmons,2012-2014,2012,2014,3,0,43,23,14.33,0,0,West Indies
ADS Fletcher, SD Hope,2017-2017,2017,2017,1,0,42,42,42,0,0,West Indies
CH Gayle, DJG Sammy,2009-2010,2009,2010,2,0,41,39,20.5,0,0,West Indies
S Chanderpaul, ADS Fletcher,2010-2010,2010,2010,3,1,40,19,20,0,0,West Indies
TM Dowlin, FL Reifer,2009-2009,2009,2009,1,0,40,40,40,0,0,West Indies
AR Nurse, R Powell,2017-2018,2017,2018,3,0,39,23,13,0,0,West Indies
DJ Bravo, J Charles,2012-2016,2012,2016,3,0,38,26,12.66,0,0,West Indies
DM Bravo, SO Hetmyer,2018-2018,2018,2018,2,0,37,26,18.5,0,0,West Indies
DM Bravo, KA Pollard,2012-2018,2012,2018,3,0,37,19,12.33,0,0,West Indies
S Chanderpaul, D Ramdin,2007-2010,2007,2010,3,1,37,19*,18.5,0,0,West Indies
N Pooran, R Powell,2018-2018,2018,2018,1,0,37,37,37,0,0,West Indies
SO Hetmyer, R Powell,2018-2018,2018,2018,2,0,36,36,18,0,0,West Indies
KA Pollard, AD Russell,2013-2015,2013,2015,5,0,36,16,7.2,0,0,West Indies
J Charles, DP Hyatt,2011-2011,2011,2011,1,0,35,35,35,0,0,West Indies
N Pooran, MN Samuels,2016-2016,2016,2016,1,0,35,35,35,0,0,West Indies
CR Brathwaite, KMA Paul,2018-2018,2018,2018,1,0,33,33,33,0,0,West Indies
ADS Fletcher, DJG Sammy,2010-2014,2010,2014,2,0,32,21,16,0,0,West Indies
E Lewis, R Powell,2018-2018,2018,2018,1,0,32,32,32,0,0,West Indies
XM Marshall, LMP Simmons,2009-2009,2009,2009,1,0,32,32,32,0,0,West Indies
KMA Paul, N Pooran,2018-2018,2018,2018,1,1,32,32*,-,0,0,West Indies
S Badree, NO Miller,2014-2014,2014,2014,1,1,31,31*,-,0,0,West Indies
S Badree, SP Narine,2012-2016,2012,2016,4,1,31,10,10.33,0,0,West Indies
CR Brathwaite, ADS Fletcher,2018-2018,2018,2018,1,0,31,31,31,0,0,West Indies
ADS Fletcher, DR Smith,2014-2014,2014,2014,2,0,29,27,14.5,0,0,West Indies
NE Bonner, DM Bravo,2012-2012,2012,2012,1,0,28,28,28,0,0,West Indies
NO Miller, DJG Sammy,2010-2010,2010,2010,3,1,28,15*,14,0,0,West Indies
S Chanderpaul, WW Hinds,2006-2006,2006,2006,1,0,27,27,27,0,0,West Indies
N Deonarine, D Ramdin,2010-2010,2010,2010,2,0,27,21,13.5,0,0,West Indies
MN Samuels, DS Smith,2007-2007,2007,2007,2,0,27,18,13.5,0,0,West Indies
TM Dowlin, CH Gayle,2010-2010,2010,2010,1,0,26,26,26,0,0,West Indies
AB Barath, LMP Simmons,2011-2011,2011,2011,1,0,25,25,25,0,0,West Indies
CR Brathwaite, D Ramdin,2011-2018,2011,2018,3,1,25,13,12.5,0,0,West Indies
KMA Paul, R Powell,2018-2018,2018,2018,2,0,25,13,12.5,0,0,West Indies
D Ramdin, RR Sarwan,2007-2010,2007,2010,3,0,25,16,8.33,0,0,West Indies
FA Allen, KMA Paul,2018-2018,2018,2018,1,0,24,24,24,0,0,West Indies
S Chanderpaul, RS Morton,2007-2008,2007,2008,2,0,24,17,12,0,0,West Indies
RR Emrit, KMA Paul,2018-2018,2018,2018,2,0,24,18,12,0,0,West Indies
RS Morton, DR Smith,2007-2010,2007,2010,3,0,24,12,8,0,0,West Indies
RR Sarwan, DR Smith,2007-2007,2007,2007,1,0,24,24,24,0,0,West Indies
CR Brathwaite, N Pooran,2016-2018,2016,2018,2,0,23,17,11.5,0,0,West Indies
SS Cottrell, KMA Paul,2018-2018,2018,2018,1,0,23,23,23,0,0,West Indies
TM Dowlin, KA Pollard,2010-2010,2010,2010,1,0,23,23,23,0,0,West Indies
SE Findlay, RR Sarwan,2008-2008,2008,2008,1,0,23,23,23,0,0,West Indies
MN Samuels, DR Smith,2007-2014,2007,2014,4,0,23,9,5.75,0,0,West Indies
CD Barnwell, MN Samuels,2011-2011,2011,2011,1,0,22,22,22,0,0,West Indies
ADS Fletcher, KOA Powell,2014-2014,2014,2014,1,0,22,22,22,0,0,West Indies
RS Morton, DS Smith,2007-2007,2007,2007,1,0,22,22,22,0,0,West Indies
KMA Paul, K Pierre,2018-2018,2018,2018,1,1,22,22*,-,0,0,West Indies
MN Samuels, RR Sarwan,2007-2007,2007,2007,1,0,22,22,22,0,0,West Indies
AB Barath, S Chanderpaul,2010-2010,2010,2010,1,0,21,21,21,0,0,West Indies
SJ Benn, JE Taylor,2008-2010,2008,2010,3,3,21,16*,-,0,0,West Indies
S Chanderpaul, LMP Simmons,2009-2009,2009,2009,1,0,21,21,21,0,0,West Indies
TM Dowlin, DS Smith,2009-2009,2009,2009,1,0,21,21,21,0,0,West Indies
FA Allen, R Powell,2018-2018,2018,2018,1,0,20,20,20,0,0,West Indies
SJ Benn, NO Miller,2010-2010,2010,2010,1,0,20,20,20,0,0,West Indies
WW Hinds, RS Morton,2010-2010,2010,2010,1,0,20,20,20,0,0,West Indies
SP Narine, D Ramdin,2014-2014,2014,2014,4,1,20,10,6.66,0,0,West Indies
KA Pollard, LMP Simmons,2009-2017,2009,2017,4,1,20,13,6.66,0,0,West Indies
D Ramdin, DS Smith,2008-2008,2008,2008,1,0,20,20,20,0,0,West Indies
S Badree, TL Best,2013-2013,2013,2013,1,1,19,19*,-,0,0,West Indies
S Badree, AR Nurse,2017-2018,2017,2018,2,0,19,10,9.5,0,0,West Indies
NE Bonner, J Charles,2012-2012,2012,2012,1,0,19,19,19,0,0,West Indies
N Deonarine, AD Russell,2013-2013,2013,2013,1,1,19,19*,-,0,0,West Indies
SE Findlay, JE Taylor,2008-2008,2008,2008,1,0,19,19,19,0,0,West Indies
CH Gayle, CAK Walton,2017-2018,2017,2018,2,0,19,19,9.5,0,0,West Indies
CD Barnwell, LMP Simmons,2013-2013,2013,2013,1,0,18,18,18,0,0,West Indies
ADS Fletcher, E Lewis,2016-2018,2016,2018,3,0,18,10,6,0,0,West Indies
JN Mohammed, R Powell,2017-2018,2017,2018,3,1,18,15*,9,0,0,West Indies
SP Narine, KA Pollard,2012-2017,2012,2017,4,1,18,10,6,0,0,West Indies
AR Nurse, KOK Williams,2017-2017,2017,2017,2,1,18,9*,18,0,0,West Indies
D Ramdin, DR Smith,2010-2010,2010,2010,1,0,18,18,18,0,0,West Indies
D Bishoo, SP Narine,2015-2015,2015,2015,1,0,17,17,17,0,0,West Indies
SJ Benn, D Ramdin,2009-2009,2009,2009,1,0,16,16,16,0,0,West Indies
ADS Fletcher, AM McCarthy,2018-2018,2018,2018,1,0,16,16,16,0,0,West Indies
SD Hope, D Ramdin,2018-2018,2018,2018,1,0,16,16,16,0,0,West Indies
DP Hyatt, MN Samuels,2011-2011,2011,2011,2,0,16,11,8,0,0,West Indies
CS Baugh, DJ Bravo,2012-2012,2012,2012,1,0,15,15,15,0,0,West Indies
CR Brathwaite, LMP Simmons,2017-2017,2017,2017,1,1,15,15*,-,0,0,West Indies
CH Gayle, ACL Richards,2007-2007,2007,2007,1,0,15,15,15,0,0,West Indies
D Ramdin, R Rampaul,2010-2012,2010,2012,3,2,15,14*,15,0,0,West Indies
DJ Bravo, DP Hyatt,2012-2012,2012,2012,1,0,14,14,14,0,0,West Indies
N Deonarine, DR Smith,2010-2010,2010,2010,1,0,14,14,14,0,0,West Indies
D Ganga, CH Gayle,2006-2006,2006,2006,1,0,14,14,14,0,0,West Indies
D Ganga, RS Morton,2006-2006,2006,2006,1,0,14,14,14,0,0,West Indies
D Ganga, DR Smith,2006-2006,2006,2006,1,0,14,14,14,0,0,West Indies
JO Holder, SP Narine,2017-2017,2017,2017,1,0,14,14,14,0,0,West Indies
E Lewis, KMA Paul,2018-2018,2018,2018,1,0,14,14,14,0,0,West Indies
R Powell, MN Samuels,2017-2018,2017,2018,3,0,14,12,4.66,0,0,West Indies
SP Narine, LMP Simmons,2014-2014,2014,2014,1,0,13,13,13,0,0,West Indies
KMA Paul, D Ramdin,2018-2018,2018,2018,1,1,13,13*,-,0,0,West Indies
CR Brathwaite, AR Nurse,2018-2018,2018,2018,1,0,12,12,12,0,0,West Indies
TM Dowlin, DR Smith,2010-2010,2010,2010,1,0,12,12,12,0,0,West Indies
WW Hinds, KA Pollard,2010-2010,2010,2010,1,0,12,12,12,0,0,West Indies
AR Nurse, KMA Paul,2018-2018,2018,2018,1,0,12,12,12,0,0,West Indies
CD Barnwell, DJG Sammy,2013-2013,2013,2013,1,0,11,11,11,0,0,West Indies
DJ Bravo, CAK Walton,2014-2014,2014,2014,1,0,11,11,11,0,0,West Indies
NO Miller, R Rampaul,2010-2010,2010,2010,1,0,11,11,11,0,0,West Indies
FA Allen, SE Rutherford,2018-2018,2018,2018,1,0,10,10,10,0,0,West Indies
S Badree, CR Brathwaite,2016-2017,2016,2017,2,1,10,7,10,0,0,West Indies
J Charles, KA Pollard,2012-2012,2012,2012,1,0,10,10,10,0,0,West Indies
SE Findlay, KA Pollard,2008-2008,2008,2008,1,0,10,10,10,0,0,West Indies
D Ganga, WW Hinds,2006-2006,2006,2006,1,0,10,10,10,0,0,West Indies
BA Parchment, DS Smith,2007-2007,2007,2007,1,0,10,10,10,0,0,West Indies
S Badree, KMA Paul,2018-2018,2018,2018,1,0,9,9,9,0,0,West Indies
CD Barnwell, AR Nurse,2011-2011,2011,2011,1,1,9,9*,-,0,0,West Indies
SJ Benn, DJG Sammy,2010-2010,2010,2010,1,0,9,9,9,0,0,West Indies
CR Brathwaite, DJG Sammy,2016-2016,2016,2016,1,0,9,9,9,0,0,West Indies
S Chanderpaul, KA Pollard,2010-2010,2010,2010,2,0,9,8,4.5,0,0,West Indies
CH Gayle, JE Taylor,2009-2009,2009,2009,1,0,9,9,9,0,0,West Indies
AR Nurse, KA Pollard,2015-2015,2015,2015,1,0,9,9,9,0,0,West Indies
S Badree, OF Smith,2018-2018,2018,2018,1,0,8,8,8,0,0,West Indies
CR Brathwaite, O Thomas,2018-2018,2018,2018,1,1,8,8*,-,0,0,West Indies
FH Edwards, DJG Sammy,2011-2011,2011,2011,1,0,8,8,8,0,0,West Indies
DP Hyatt, AD Russell,2011-2011,2011,2011,1,0,8,8,8,0,0,West Indies
KA Pollard, DR Smith,2012-2012,2012,2012,1,0,8,8,8,0,0,West Indies
KA Pollard, CAK Walton,2017-2017,2017,2017,1,0,8,8,8,0,0,West Indies
FA Allen, CR Brathwaite,2018-2018,2018,2018,2,0,7,7,3.5,0,0,West Indies
NE Bonner, DP Hyatt,2011-2011,2011,2011,1,0,7,7,7,0,0,West Indies
DJ Bravo, RN Lewis,2008-2008,2008,2008,1,0,7,7,7,0,0,West Indies
TM Dowlin, DJG Sammy,2009-2009,2009,2009,1,0,7,7,7,0,0,West Indies
RR Emrit, AR Nurse,2018-2018,2018,2018,1,0,7,7,7,0,0,West Indies
ADS Fletcher, SO Hetmyer,2018-2018,2018,2018,1,0,7,7,7,0,0,West Indies
SP Narine, DJG Sammy,2014-2014,2014,2014,1,1,7,7*,-,0,0,West Indies
AR Nurse, AD Russell,2018-2018,2018,2018,1,0,7,7,7,0,0,West Indies
KA Pollard, R Powell,2017-2017,2017,2017,1,0,7,7,7,0,0,West Indies
DBL Powell, DR Smith,2007-2007,2007,2007,1,0,7,7,7,0,0,West Indies
MC Bascombe, J Charles,2011-2011,2011,2011,1,0,6,6,6,0,0,West Indies
CS Baugh, SE Findlay,2008-2008,2008,2008,1,0,6,6,6,0,0,West Indies
NE Bonner, KA Pollard,2012-2012,2012,2012,1,0,6,6,6,0,0,West Indies
S Chanderpaul, XM Marshall,2009-2009,2009,2009,2,0,6,5,3,0,0,West Indies
N Deonarine, RR Sarwan,2010-2010,2010,2010,3,0,6,4,2,0,0,West Indies
SO Hetmyer, KA Pollard,2018-2018,2018,2018,1,0,6,6,6,0,0,West Indies
WW Hinds, DJG Sammy,2010-2010,2010,2010,1,0,6,6,6,0,0,West Indies
KMA Paul, MN Samuels,2018-2018,2018,2018,1,0,6,6,6,0,0,West Indies
WKD Perkins, D Ramdin,2008-2008,2008,2008,1,0,6,6,6,0,0,West Indies
DE Bernard, TM Dowlin,2009-2009,2009,2009,1,1,5,5*,-,0,0,West Indies
DJ Bravo, N Pooran,2016-2016,2016,2016,1,0,5,5,5,0,0,West Indies
DM Bravo, R Powell,2018-2018,2018,2018,2,0,5,3,2.5,0,0,West Indies
SE Findlay, CH Gayle,2008-2008,2008,2008,1,0,5,5,5,0,0,West Indies
SD Hope, JN Mohammed,2017-2017,2017,2017,1,0,5,5,5,0,0,West Indies
RR Sarwan, JE Taylor,2010-2010,2010,2010,1,0,5,5,5,0,0,West Indies
CS Baugh, KA Pollard,2012-2012,2012,2012,1,0,4,4,4,0,0,West Indies
SJ Benn, FH Edwards,2009-2009,2009,2009,1,1,4,4*,-,0,0,West Indies
SJ Benn, CH Gayle,2009-2009,2009,2009,1,0,4,4,4,0,0,West Indies
DM Bravo, DP Hyatt,2011-2011,2011,2011,1,0,4,4,4,0,0,West Indies
S Chanderpaul, DR Smith,2007-2007,2007,2007,1,0,4,4,4,0,0,West Indies
DO Christian, DJG Sammy,2011-2011,2011,2011,1,0,4,4,4,0,0,West Indies
WW Hinds, D Ramdin,2010-2010,2010,2010,1,1,4,4*,-,0,0,West Indies
JO Holder, DJG Sammy,2015-2015,2015,2015,1,0,4,4,4,0,0,West Indies
GE Mathurin, SP Narine,2012-2012,2012,2012,1,0,4,4,4,0,0,West Indies
JN Mohammed, LMP Simmons,2017-2017,2017,2017,1,1,4,4*,-,0,0,West Indies
SP Narine, R Powell,2017-2017,2017,2017,1,0,4,4,4,0,0,West Indies
SP Narine, R Rampaul,2012-2012,2012,2012,1,1,4,4*,-,0,0,West Indies
N Pooran, D Ramdin,2018-2018,2018,2018,1,0,4,4,4,0,0,West Indies
R Powell, CAK Walton,2017-2017,2017,2017,1,0,4,4,4,0,0,West Indies
S Badree, ADS Fletcher,2016-2016,2016,2016,1,1,3,3*,-,0,0,West Indies
S Badree, R Rampaul,2012-2012,2012,2012,1,0,3,3,3,0,0,West Indies
SJ Benn, KAJ Roach,2010-2010,2010,2010,1,0,3,3,3,0,0,West Indies
SS Cottrell, O Thomas,2018-2018,2018,2018,2,0,3,2,1.5,0,0,West Indies
NO Miller, JE Taylor,2010-2010,2010,2010,1,0,3,3,3,0,0,West Indies
SP Narine, K Santokie,2014-2014,2014,2014,1,1,3,3*,-,0,0,West Indies
IDR Bradshaw, DJ Bravo,2006-2006,2006,2006,1,1,2,2*,-,0,0,West Indies
CR Brathwaite, K Pierre,2018-2018,2018,2018,1,0,2,2,2,0,0,West Indies
CR Brathwaite, SE Rutherford,2018-2018,2018,2018,1,0,2,2,2,0,0,West Indies
S Chanderpaul, MN Samuels,2007-2007,2007,2007,1,0,2,2,2,0,0,West Indies
DP Hyatt, DJG Sammy,2011-2011,2011,2011,2,0,2,1,1,0,0,West Indies
GE Mathurin, KA Pollard,2012-2012,2012,2012,1,1,2,2*,-,0,0,West Indies
NO Miller, CAK Walton,2014-2014,2014,2014,1,0,2,2,2,0,0,West Indies
RS Morton, R Rampaul,2007-2007,2007,2007,1,1,2,2*,-,0,0,West Indies
RS Morton, DJG Sammy,2007-2010,2007,2010,2,0,2,2,1,0,0,West Indies
LMP Simmons, CAK Walton,2017-2017,2017,2017,1,0,2,2,2,0,0,West Indies
S Badree, DJ Bravo,2016-2016,2016,2016,1,0,1,1,1,0,0,West Indies
S Badree, JO Holder,2017-2017,2017,2017,1,1,1,1*,-,0,0,West Indies
S Badree, KOK Williams,2018-2018,2018,2018,1,1,1,1*,-,0,0,West Indies
D Bishoo, DJG Sammy,2011-2011,2011,2011,1,0,1,1,1,0,0,West Indies
SS Cottrell, KA Pollard,2015-2015,2015,2015,1,0,1,1,1,0,0,West Indies
SS Cottrell, SE Rutherford,2018-2018,2018,2018,1,0,1,1,1,0,0,West Indies
TM Dowlin, WW Hinds,2010-2010,2010,2010,1,0,1,1,1,0,0,West Indies
TM Dowlin, RS Morton,2010-2010,2010,2010,1,0,1,1,1,0,0,West Indies
FH Edwards, GE Mathurin,2012-2012,2012,2012,1,0,1,1,1,0,0,West Indies
FH Edwards, JE Taylor,2008-2008,2008,2008,1,0,1,1,1,0,0,West Indies
RR Emrit, KOK Williams,2018-2018,2018,2018,1,0,1,1,1,0,0,West Indies
CH Gayle, WW Hinds,2010-2010,2010,2010,1,0,1,1,1,0,0,West Indies
SD Hope, R Powell,2017-2017,2017,2017,1,0,1,1,1,0,0,West Indies
E Lewis, KA Pollard,2016-2016,2016,2016,1,0,1,1,1,0,0,West Indies
D Ramdin, JE Taylor,2009-2009,2009,2009,1,0,1,1,1,0,0,West Indies
OF Smith, KOK Williams,2018-2018,2018,2018,1,0,1,1,1,0,0,West Indies
CD Barnwell, AD Russell,2011-2011,2011,2011,1,0,0,0,0,0,0,West Indies
TL Best, DJG Sammy,2013-2013,2013,2013,1,0,0,0,0,0,0,West Indies
CR Brathwaite, DJ Bravo,2016-2016,2016,2016,1,0,0,0,0,0,0,West Indies
DM Bravo, S Chanderpaul,2010-2010,2010,2010,1,0,0,0,0,0,0,West Indies
DO Christian, DP Hyatt,2011-2011,2011,2011,1,0,0,0,0,0,0,West Indies
N Deonarine, LMP Simmons,2010-2010,2010,2010,1,0,0,0,0,0,0,West Indies
ADS Fletcher, DM Richards,2009-2009,2009,2009,1,0,0,0,0,0,0,West Indies
JO Holder, JE Taylor,2015-2015,2015,2015,1,0,0,0,0,0,0,West Indies
NO Miller, SP Narine,2014-2014,2014,2014,1,0,0,0,0,0,0,West Indies
KMA Paul, KOK Williams,2018-2018,2018,2018,2,0,0,0,0,0,0,West Indies
KA Pollard, JE Taylor,2008-2008,2008,2008,1,0,0,0,0,0,0,West Indies
DJG Sammy, RR Sarwan,2010-2010,2010,2010,1,0,0,0,0,0,0,West Indies
MJ Guptill, KS Williamson,2012-2018,2012,2018,24,1,1151,171*,50.04,3,8,New Zealand
MJ Guptill, BB McCullum,2009-2015,2009,2015,22,2,831,127*,41.55,2,4,New Zealand
MJ Guptill, C Munro,2012-2018,2012,2018,17,1,670,136,41.87,3,1,New Zealand
BB McCullum, LRPL Taylor,2006-2014,2006,2014,22,0,559,78,25.4,0,4,New Zealand
BB McCullum, JD Ryder,2008-2014,2008,2014,17,0,550,130,32.35,1,3,New Zealand
C Munro, KS Williamson,2015-2018,2015,2018,21,1,537,80,26.85,0,4,New Zealand
MJ Guptill, RJ Nicol,2012-2012,2012,2012,12,0,385,76,32.08,0,3,New Zealand
BB McCullum, KS Williamson,2012-2015,2012,2015,10,1,309,90,34.33,0,2,New Zealand
TC Bruce, C Munro,2017-2018,2017,2018,4,1,283,123,94.33,1,2,New Zealand
C Munro, LRPL Taylor,2013-2018,2013,2018,8,2,277,93,46.16,0,1,New Zealand
MJ Guptill, JD Ryder,2009-2014,2009,2014,10,0,252,62,25.2,0,2,New Zealand
CJ Anderson, KS Williamson,2016-2018,2016,2018,6,0,239,124,39.83,1,0,New Zealand
SB Styris, LRPL Taylor,2007-2010,2007,2010,11,1,223,62,22.3,0,1,New Zealand
JDP Oram, LRPL Taylor,2007-2012,2007,2012,9,1,220,51,27.5,0,1,New Zealand
BB McCullum, L Vincent,2007-2007,2007,2007,8,0,212,68,26.5,0,2,New Zealand
MJ Guptill, LRPL Taylor,2009-2014,2009,2014,10,0,211,53,21.1,0,1,New Zealand
LRPL Taylor, KS Williamson,2012-2018,2012,2018,9,0,208,51,23.11,0,1,New Zealand
C Munro, GD Phillips,2017-2018,2017,2018,6,0,195,86,32.5,0,3,New Zealand
JEC Franklin, MJ Guptill,2009-2013,2009,2013,6,2,194,91,48.5,0,1,New Zealand
SP Fleming, BB McCullum,2005-2006,2005,2006,3,0,180,80,60,0,2,New Zealand
JEC Franklin, BB McCullum,2006-2013,2006,2013,6,0,177,94,29.5,0,1,New Zealand
JEC Franklin, LRPL Taylor,2006-2012,2006,2012,10,0,161,40,16.1,0,0,New Zealand
CD McMillan, JDP Oram,2007-2007,2007,2007,3,0,157,73,52.33,0,1,New Zealand
BB McCullum, AJ Redmond,2009-2010,2009,2010,6,0,155,51,25.83,0,1,New Zealand
CJ Anderson, LRPL Taylor,2014-2018,2014,2018,10,1,153,34,17,0,0,New Zealand
NL McCullum, DL Vettori,2009-2010,2009,2010,7,2,147,45,29.4,0,0,New Zealand
CD McMillan, SB Styris,2005-2007,2005,2007,5,0,136,60,27.2,0,1,New Zealand
BB McCullum, SB Styris,2005-2009,2005,2009,4,0,130,66,32.5,0,1,New Zealand
GD Phillips, KS Williamson,2017-2018,2017,2018,4,0,127,83,31.75,0,1,New Zealand
MJ Guptill, HD Rutherford,2013-2013,2013,2013,3,0,123,75,41,0,1,New Zealand
L Ronchi, LRPL Taylor,2014-2016,2014,2016,5,1,123,68,30.75,0,1,New Zealand
PG Fulton, BB McCullum,2006-2012,2006,2012,5,1,122,58,30.5,0,1,New Zealand
MS Chapman, MJ Guptill,2018-2018,2018,2018,2,0,121,64,60.5,0,2,New Zealand
BB McCullum, JDP Oram,2005-2012,2005,2012,6,2,120,60*,30,0,1,New Zealand
BB McCullum, HD Rutherford,2013-2013,2013,2013,1,0,114,114,114,1,0,New Zealand
C de Grandhomme, KS Williamson,2012-2018,2012,2018,5,2,111,81*,37,0,1,New Zealand
JEC Franklin, RJ Nicol,2012-2012,2012,2012,1,0,103,103,103,1,0,New Zealand
JDP Oram, SB Styris,2005-2009,2005,2009,4,0,100,34,25,0,0,New Zealand
CJ Anderson, MJ Guptill,2014-2016,2014,2016,2,0,98,52,49,0,1,New Zealand
RJ Nicol, KS Williamson,2012-2012,2012,2012,3,0,96,53,32,0,1,New Zealand
PJ Ingram, BB McCullum,2010-2010,2010,2010,3,1,91,79*,45.5,0,1,New Zealand
MJ Guptill, JDP Oram,2009-2009,2009,2009,3,0,86,43,28.66,0,0,New Zealand
BB McCullum, NL McCullum,2009-2012,2009,2012,3,2,86,50*,86,0,1,New Zealand
BB McCullum, L Ronchi,2014-2014,2014,2014,1,1,85,85*,-,0,1,New Zealand
MJ Guptill, GH Worker,2015-2015,2015,2015,2,0,83,49,41.5,0,0,New Zealand
CJ Anderson, L Ronchi,2014-2016,2014,2016,4,0,82,51,20.5,0,1,New Zealand
JD Ryder, LRPL Taylor,2008-2011,2008,2011,6,0,82,25,13.66,0,0,New Zealand
