Player_1,Player_2,Innings_Span,First_Innings,Last_Innings,Number_of_Partnerships,Unbroken,Total_Runs,Highest_Runs,Avg_Runs_Per_Dismissal,Century_Partnerships,50Runs_Partnerships,Country,Player_Pairs
Mohammad Saifuddin, Shafiul Islam,2017-2017,2017,2017,1,0,3,3,3,0,0,Bangladesh,Mohammad Saifuddin & Shafiul Islam
Mushfiqur Rahim, Syed Rasel,2007-2007,2007,2007,1,0,3,3,3,0,0,Bangladesh,Mushfiqur Rahim & Syed Rasel
Nazimuddin, Shakib Al Hasan,2008-2008,2008,2008,1,0,3,3,3,0,0,Bangladesh,Nazimuddin & Shakib Al Hasan
Abdur Razzak, Mehrab Hossain jnr,2008-2008,2008,2008,1,0,2,2,2,0,0,Bangladesh,Abdur Razzak & Mehrab Hossain jnr
Anamul Haque, Mohammad Mithun,2014-2014,2014,2014,1,0,2,2,2,0,0,Bangladesh,Anamul Haque & Mohammad Mithun
Anamul Haque, Mominul Haque,2014-2014,2014,2014,1,0,2,2,2,0,0,Bangladesh,Anamul Haque & Mominul Haque
Dhiman Ghosh, Nazimuddin,2008-2008,2008,2008,1,0,2,2,2,0,0,Bangladesh,Dhiman Ghosh & Nazimuddin
Elias Sunny, Shafiul Islam,2012-2012,2012,2012,1,0,2,2,2,0,0,Bangladesh,Elias Sunny & Shafiul Islam
Mahmudullah, Mominul Haque,2013-2013,2013,2013,1,0,2,2,2,0,0,Bangladesh,Mahmudullah & Mominul Haque
Alok Kapali, Imrul Kayes,2011-2011,2011,2011,1,0,1,1,1,0,0,Bangladesh,Alok Kapali & Imrul Kayes
Al-Amin Hossain, Mustafizur Rahman,2015-2015,2015,2015,1,1,1,1*,-,0,0,Bangladesh,Al-Amin Hossain & Mustafizur Rahman
Al-Amin Hossain, Sohag Gazi,2014-2014,2014,2014,1,0,1,1,1,0,0,Bangladesh,Al-Amin Hossain & Sohag Gazi
Anamul Haque, Imrul Kayes,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh,Anamul Haque & Imrul Kayes
Anamul Haque, Mashrafe Mortaza,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh,Anamul Haque & Mashrafe Mortaza
Arafat Sunny, Liton Das,2015-2015,2015,2015,1,0,1,1,1,0,0,Bangladesh,Arafat Sunny & Liton Das
Mahmudullah, Nazmul Islam,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh,Mahmudullah & Nazmul Islam
Mehidy Hasan Miraz, Rubel Hossain,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh,Mehidy Hasan Miraz & Rubel Hossain
Mushfiqur Rahim, Shahadat Hossain,2009-2009,2009,2009,1,1,1,1*,-,0,0,Bangladesh,Mushfiqur Rahim & Shahadat Hossain
Naeem Islam, Sohrawordi Shuvo,2010-2010,2010,2010,1,1,1,1*,-,0,0,Bangladesh,Naeem Islam & Sohrawordi Shuvo
Nasir Hossain, Shafiul Islam,2011-2012,2011,2012,2,0,1,1,0.5,0,0,Bangladesh,Nasir Hossain & Shafiul Islam
Rubel Hossain, Taskin Ahmed,2018-2018,2018,2018,1,0,1,1,1,0,0,Bangladesh,Rubel Hossain & Taskin Ahmed
Abdur Razzak, Shahadat Hossain,2008-2008,2008,2008,1,0,0,0,0,0,0,Bangladesh,Abdur Razzak & Shahadat Hossain
Abu Jayed, Mustafizur Rahman,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh,Abu Jayed & Mustafizur Rahman
Afif Hossain, Mushfiqur Rahim,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh,Afif Hossain & Mushfiqur Rahim
Aftab Ahmed, Mashrafe Mortaza,2007-2007,2007,2007,1,0,0,0,0,0,0,Bangladesh,Aftab Ahmed & Mashrafe Mortaza
Anamul Haque, Shamsur Rahman,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh,Anamul Haque & Shamsur Rahman
Ariful Haque, Mehidy Hasan Miraz,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh,Ariful Haque & Mehidy Hasan Miraz
Mahmudullah, Mustafizur Rahman,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh,Mahmudullah & Mustafizur Rahman
Mominul Haque, Shakib Al Hasan,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh,Mominul Haque & Shakib Al Hasan
Mosaddek Hossain, Soumya Sarkar,2018-2018,2018,2018,1,0,0,0,0,0,0,Bangladesh,Mosaddek Hossain & Soumya Sarkar
Naeem Islam, Tamim Iqbal,2009-2009,2009,2009,1,0,0,0,0,0,0,Bangladesh,Naeem Islam & Tamim Iqbal
Nasir Hossain, Rony Talukdar,2015-2015,2015,2015,1,0,0,0,0,0,0,Bangladesh,Nasir Hossain & Rony Talukdar
Nasir Hossain, Sohag Gazi,2013-2013,2013,2013,1,0,0,0,0,0,0,Bangladesh,Nasir Hossain & Sohag Gazi
Rubel Hossain, Sabbir Rahman,2014-2014,2014,2014,1,0,0,0,0,0,0,Bangladesh,Rubel Hossain & Sabbir Rahman
AD Hales, MJ Lumb,2012-2014,2012,2014,18,1,705,143*,41.47,2,3,England,AD Hales & MJ Lumb
JC Buttler, EJG Morgan,2012-2018,2012,2018,20,4,558,114*,34.87,1,2,England,JC Buttler & EJG Morgan
AD Hales, JJ Roy,2014-2018,2014,2018,22,0,526,82,23.9,0,2,England,AD Hales & JJ Roy
AD Hales, EJG Morgan,2012-2018,2012,2018,13,1,478,152,39.83,2,0,England,AD Hales & EJG Morgan
EJG Morgan, LJ Wright,2009-2013,2009,2013,15,0,467,95,31.13,0,4,England,EJG Morgan & LJ Wright
C Kieswetter, KP Pietersen,2010-2012,2010,2012,10,0,443,111,44.3,1,2,England,C Kieswetter & KP Pietersen
AD Hales, JE Root,2014-2018,2014,2018,13,0,410,72,31.53,0,5,England,AD Hales & JE Root
PD Collingwood, KP Pietersen,2007-2011,2007,2011,14,0,370,100,26.42,1,1,England,PD Collingwood & KP Pietersen
JC Buttler, JE Root,2013-2018,2013,2018,12,1,365,75,33.18,0,3,England,JC Buttler & JE Root
AD Hales, LJ Wright,2012-2014,2012,2014,14,1,358,69,27.53,0,3,England,AD Hales & LJ Wright
EJG Morgan, JE Root,2013-2017,2013,2017,15,0,323,83,21.53,0,2,England,EJG Morgan & JE Root
JC Buttler, JJ Roy,2016-2018,2016,2018,7,0,319,95,45.57,0,3,England,JC Buttler & JJ Roy
EJG Morgan, KP Pietersen,2009-2012,2009,2012,10,2,306,112*,38.25,1,1,England,EJG Morgan & KP Pietersen
PD Collingwood, OA Shah,2007-2009,2007,2009,7,0,295,102,42.14,1,1,England,PD Collingwood & OA Shah
C Kieswetter, MJ Lumb,2010-2012,2010,2012,9,0,230,68,25.55,0,1,England,C Kieswetter & MJ Lumb
AD Hales, C Kieswetter,2011-2012,2011,2012,11,1,224,128*,22.4,1,0,England,AD Hales & C Kieswetter
AD Hales, DJ Malan,2017-2018,2017,2018,3,0,214,105,71.33,1,1,England,AD Hales & DJ Malan
RS Bopara, AD Hales,2012-2014,2012,2014,3,1,208,159,104,1,0,England,RS Bopara & AD Hales
JM Bairstow, AD Hales,2012-2018,2012,2018,4,1,189,98*,63,0,2,England,JM Bairstow & AD Hales
RS Bopara, EJG Morgan,2010-2014,2010,2014,9,0,181,73,20.11,0,1,England,RS Bopara & EJG Morgan
KP Pietersen, IJL Trott,2007-2010,2007,2010,5,0,179,98,35.8,0,2,England,KP Pietersen & IJL Trott
PD Collingwood, EJG Morgan,2009-2011,2009,2011,5,1,178,98,44.5,0,1,England,PD Collingwood & EJG Morgan
RS Bopara, JC Buttler,2013-2014,2013,2014,7,0,171,45,24.42,0,0,England,RS Bopara & JC Buttler
JC Buttler, AD Hales,2014-2018,2014,2018,4,0,164,76,41,0,1,England,JC Buttler & AD Hales
RS Bopara, LJ Wright,2009-2014,2009,2014,8,0,160,102,20,1,0,England,RS Bopara & LJ Wright
MM Ali, EJG Morgan,2014-2016,2014,2016,5,0,155,135,31,1,0,England,MM Ali & EJG Morgan
RS Bopara, KP Pietersen,2009-2012,2009,2012,5,0,147,71,29.4,0,2,England,RS Bopara & KP Pietersen
IR Bell, KP Pietersen,2008-2011,2008,2011,3,1,146,79*,73,0,1,England,IR Bell & KP Pietersen
JE Root, JJ Roy,2016-2017,2016,2017,4,0,136,61,34,0,1,England,JE Root & JJ Roy
JE Root, BA Stokes,2014-2017,2014,2017,7,1,135,52,22.5,0,1,England,JE Root & BA Stokes
RS Bopara, TT Bresnan,2014-2014,2014,2014,6,1,127,47,25.4,0,0,England,RS Bopara & TT Bresnan
DJ Malan, EJG Morgan,2018-2018,2018,2018,2,0,127,93,63.5,0,1,England,DJ Malan & EJG Morgan
RS Bopara, CJ Jordan,2014-2014,2014,2014,5,1,123,36,30.75,0,0,England,RS Bopara & CJ Jordan
JM Bairstow, JC Buttler,2012-2018,2012,2018,8,1,116,50,16.57,0,1,England,JM Bairstow & JC Buttler
TT Bresnan, EJG Morgan,2009-2011,2009,2011,6,1,115,33*,23,0,0,England,TT Bresnan & EJG Morgan
DL Maddy, VS Solanki,2007-2007,2007,2007,2,0,115,62,57.5,0,2,England,DL Maddy & VS Solanki
KP Pietersen, OA Shah,2007-2009,2007,2009,4,0,114,66,28.5,0,1,England,KP Pietersen & OA Shah
JM Bairstow, JJ Roy,2017-2017,2017,2017,1,0,110,110,110,1,0,England,JM Bairstow & JJ Roy
SW Billings, JC Buttler,2015-2018,2015,2018,3,0,109,43,36.33,0,0,England,SW Billings & JC Buttler
AD Mascarenhas, OA Shah,2007-2009,2007,2009,5,1,109,69*,27.25,0,1,England,AD Mascarenhas & OA Shah
JC Buttler, JM Vince,2015-2018,2015,2018,4,0,108,36,27,0,0,England,JC Buttler & JM Vince
SW Billings, EJG Morgan,2015-2018,2015,2018,2,0,107,65,53.5,0,1,England,SW Billings & EJG Morgan
JE Root, JM Vince,2015-2016,2015,2016,3,0,101,48,33.66,0,0,England,JE Root & JM Vince
RS Bopara, JE Root,2013-2014,2013,2014,3,1,98,95,49,0,1,England,RS Bopara & JE Root
JM Bairstow, EJG Morgan,2012-2013,2012,2013,2,0,97,81,48.5,0,1,England,JM Bairstow & EJG Morgan
EJG Morgan, JM Vince,2015-2015,2015,2015,2,0,96,76,48,0,1,England,EJG Morgan & JM Vince
EJG Morgan, MH Yardy,2010-2010,2010,2010,2,2,94,67*,-,0,1,England,EJG Morgan & MH Yardy
PD Collingwood, MH Yardy,2007-2007,2007,2007,1,0,91,91,91,0,1,England,PD Collingwood & MH Yardy
SW Billings, JJ Roy,2017-2017,2017,2017,4,0,87,42,21.75,0,0,England,SW Billings & JJ Roy
EJG Morgan, SR Patel,2012-2012,2012,2012,3,0,82,55,27.33,0,1,England,EJG Morgan & SR Patel
KP Pietersen, ME Trescothick,2005-2006,2005,2006,3,0,82,51,27.33,0,1,England,KP Pietersen & ME Trescothick
SR Patel, KP Pietersen,2011-2012,2011,2012,2,0,80,60,40,0,1,England,SR Patel & KP Pietersen
MM Ali, DJ Willey,2016-2016,2016,2016,3,1,79,57*,39.5,0,1,England,MM Ali & DJ Willey
P Mustard, LJ Wright,2008-2008,2008,2008,2,0,77,65,38.5,0,1,England,P Mustard & LJ Wright
IR Bell, SM Davies,2011-2011,2011,2011,2,0,76,60,38,0,1,England,IR Bell & SM Davies
TT Bresnan, SCJ Broad,2014-2014,2014,2014,3,1,74,34,37,0,0,England,TT Bresnan & SCJ Broad
JC Buttler, DJ Willey,2015-2018,2015,2018,5,1,73,24,18.25,0,0,England,JC Buttler & DJ Willey
MM Ali, MJ Lumb,2014-2014,2014,2014,1,0,72,72,72,0,1,England,MM Ali & MJ Lumb
JC Buttler, SR Patel,2012-2013,2012,2013,4,0,71,38,17.75,0,0,England,JC Buttler & SR Patel
AN Cook, IJL Trott,2009-2009,2009,2009,2,0,70,45,35,0,0,England,AN Cook & IJL Trott
JJ Roy, BA Stokes,2016-2018,2016,2018,2,0,70,47,35,0,0,England,JJ Roy & BA Stokes
PD Collingwood, AD Mascarenhas,2007-2009,2007,2009,4,0,67,40,16.75,0,0,England,PD Collingwood & AD Mascarenhas
GO Jones, ME Trescothick,2005-2006,2005,2006,2,0,66,38,33,0,0,England,GO Jones & ME Trescothick
AN Cook, MJ Prior,2007-2007,2007,2007,2,0,65,40,32.5,0,0,England,AN Cook & MJ Prior
A Flintoff, OA Shah,2007-2007,2007,2007,4,0,65,30,16.25,0,0,England,A Flintoff & OA Shah
JC Buttler, JC Tredwell,2012-2013,2012,2013,3,2,64,35,64,0,0,England,JC Buttler & JC Tredwell
KP Pietersen, LJ Wright,2009-2010,2009,2010,3,1,64,53,32,0,1,England,KP Pietersen & LJ Wright
SCJ Broad, GP Swann,2008-2012,2008,2012,8,3,62,33*,12.4,0,0,England,SCJ Broad & GP Swann
PD Collingwood, AJ Strauss,2005-2009,2005,2009,2,0,62,49,31,0,0,England,PD Collingwood & AJ Strauss
MJ Lumb, LJ Wright,2013-2014,2013,2014,3,0,60,60,20,0,1,England,MJ Lumb & LJ Wright
JM Vince, CR Woakes,2015-2015,2015,2015,1,0,60,60,60,0,1,England,JM Vince & CR Woakes
AJ Strauss, ME Trescothick,2006-2006,2006,2006,2,0,59,59,29.5,0,1,England,AJ Strauss & ME Trescothick
RS Bopara, SM Davies,2009-2010,2009,2010,2,0,58,33,29,0,0,England,RS Bopara & SM Davies
JM Bairstow, BA Stokes,2011-2018,2011,2018,2,0,57,37,28.5,0,0,England,JM Bairstow & BA Stokes
JC Buttler, C Kieswetter,2012-2012,2012,2012,2,0,57,48,28.5,0,0,England,JC Buttler & C Kieswetter
KP Pietersen, MJ Prior,2007-2007,2007,2007,2,0,55,31,27.5,0,0,England,KP Pietersen & MJ Prior
MJ Prior, OA Shah,2007-2007,2007,2007,1,0,55,55,55,0,1,England,MJ Prior & OA Shah
RS Bopara, PD Collingwood,2009-2010,2009,2010,2,0,54,31,27,0,0,England,RS Bopara & PD Collingwood
C Kieswetter, EJG Morgan,2012-2012,2012,2012,3,0,53,21,17.66,0,0,England,C Kieswetter & EJG Morgan
OA Shah, LJ Wright,2007-2009,2007,2009,2,0,53,42,26.5,0,0,England,OA Shah & LJ Wright
JWM Dalrymple, ME Trescothick,2006-2006,2006,2006,2,0,52,47,26,0,0,England,JWM Dalrymple & ME Trescothick
MM Ali, BA Stokes,2015-2018,2015,2018,4,1,51,38,17,0,0,England,MM Ali & BA Stokes
SR Patel, GP Swann,2012-2012,2012,2012,1,0,51,51,51,0,1,England,SR Patel & GP Swann
JWM Dalrymple, PA Nixon,2007-2007,2007,2007,1,0,49,49,49,0,0,England,JWM Dalrymple & PA Nixon
DL Maddy, MJ Prior,2007-2007,2007,2007,2,0,49,29,24.5,0,0,England,DL Maddy & MJ Prior
EJG Morgan, BA Stokes,2016-2016,2016,2016,4,0,49,23,12.25,0,0,England,EJG Morgan & BA Stokes
JM Bairstow, RS Bopara,2011-2012,2011,2012,2,1,48,33,48,0,0,England,JM Bairstow & RS Bopara
IR Bell, LJ Wright,2008-2008,2008,2008,1,0,48,48,48,0,0,England,IR Bell & LJ Wright
CJ Jordan, DJ Willey,2015-2018,2015,2018,7,1,47,25,7.83,0,0,England,CJ Jordan & DJ Willey
MJ Lumb, EJG Morgan,2013-2014,2013,2014,4,0,47,23,11.75,0,0,England,MJ Lumb & EJG Morgan
SW Billings, JE Root,2015-2017,2015,2017,2,0,44,43,22,0,0,England,SW Billings & JE Root
JM Bairstow, SR Patel,2012-2012,2012,2012,3,0,43,39,14.33,0,0,England,JM Bairstow & SR Patel
KP Pietersen, VS Solanki,2007-2007,2007,2007,1,0,43,43,43,0,0,England,KP Pietersen & VS Solanki
RS Bopara, BA Stokes,2011-2014,2011,2014,4,1,41,18,13.66,0,0,England,RS Bopara & BA Stokes
TT Bresnan, CR Woakes,2011-2011,2011,2011,2,1,41,30*,41,0,0,England,TT Bresnan & CR Woakes
MM Ali, CJ Jordan,2016-2017,2016,2017,3,1,39,28,19.5,0,0,England,MM Ali & CJ Jordan
IR Bell, ME Trescothick,2006-2006,2006,2006,1,0,39,39,39,0,0,England,IR Bell & ME Trescothick
RS Bopara, SR Patel,2011-2012,2011,2012,3,1,39,35*,19.5,0,0,England,RS Bopara & SR Patel
C Kieswetter, LJ Wright,2012-2012,2012,2012,2,0,39,23,19.5,0,0,England,C Kieswetter & LJ Wright
JC Buttler, DJ Malan,2017-2018,2017,2018,3,0,38,15,12.66,0,0,England,JC Buttler & DJ Malan
CJ Jordan, LE Plunkett,2016-2018,2016,2018,5,1,38,19,9.5,0,0,England,CJ Jordan & LE Plunkett
MM Ali, AD Hales,2014-2014,2014,2014,5,0,37,27,7.4,0,0,England,MM Ali & AD Hales
PD Collingwood, ME Trescothick,2005-2006,2005,2006,3,0,37,20,12.33,0,0,England,PD Collingwood & ME Trescothick
IR Bell, AD Hales,2014-2014,2014,2014,1,0,36,36,36,0,0,England,IR Bell & AD Hales
RS Bopara, MJ Lumb,2010-2010,2010,2010,1,0,36,36,36,0,0,England,RS Bopara & MJ Lumb
PD Collingwood, IJL Trott,2009-2009,2009,2009,1,0,36,36,36,0,0,England,PD Collingwood & IJL Trott
PD Collingwood, LJ Wright,2009-2010,2009,2010,2,0,36,19,18,0,0,England,PD Collingwood & LJ Wright
JS Foster, AD Mascarenhas,2009-2009,2009,2009,2,1,36,29*,36,0,0,England,JS Foster & AD Mascarenhas
JM Bairstow, LJ Wright,2012-2012,2012,2012,1,0,35,35,35,0,0,England,JM Bairstow & LJ Wright
SM Davies, C Kieswetter,2010-2010,2010,2010,2,0,35,26,17.5,0,0,England,SM Davies & C Kieswetter
RS Bopara, OA Shah,2009-2009,2009,2009,1,0,34,34,34,0,0,England,RS Bopara & OA Shah
DJ Malan, JM Vince,2018-2018,2018,2018,2,0,34,18,17,0,0,England,DJ Malan & JM Vince
MM Ali, JE Root,2016-2016,2016,2016,2,0,33,33,16.5,0,0,England,MM Ali & JE Root
JM Bairstow, C Kieswetter,2012-2012,2012,2012,2,0,33,30,16.5,0,0,England,JM Bairstow & C Kieswetter
SW Billings, DJ Malan,2018-2018,2018,2018,2,0,33,20,16.5,0,0,England,SW Billings & DJ Malan
JC Buttler, LJ Wright,2012-2012,2012,2012,2,0,33,18,16.5,0,0,England,JC Buttler & LJ Wright
DJ Malan, DJ Willey,2018-2018,2018,2018,2,0,33,29,16.5,0,0,England,DJ Malan & DJ Willey
MM Ali, JC Buttler,2014-2018,2014,2018,5,0,32,15,6.4,0,0,England,MM Ali & JC Buttler
SM Davies, KP Pietersen,2009-2011,2009,2011,2,0,32,30,16,0,0,England,SM Davies & KP Pietersen
JC Buttler, CJ Jordan,2016-2018,2016,2018,2,0,31,27,15.5,0,0,England,JC Buttler & CJ Jordan
JJ Roy, JM Vince,2015-2016,2015,2016,3,0,31,16,10.33,0,0,England,JJ Roy & JM Vince
RS Bopara, CR Woakes,2014-2014,2014,2014,2,1,30,16*,30,0,0,England,RS Bopara & CR Woakes
SCJ Broad, JC Buttler,2012-2013,2012,2013,3,0,30,18,10,0,0,England,SCJ Broad & JC Buttler
DL Maddy, KP Pietersen,2007-2007,2007,2007,2,0,29,18,14.5,0,0,England,DL Maddy & KP Pietersen
JM Bairstow, GP Swann,2012-2012,2012,2012,2,2,28,15*,-,0,0,England,JM Bairstow & GP Swann
JL Denly, BA Stokes,2018-2018,2018,2018,1,0,28,28,28,0,0,England,JL Denly & BA Stokes
EJG Morgan, JJ Roy,2018-2018,2018,2018,2,0,28,15,14,0,0,England,EJG Morgan & JJ Roy
KP Pietersen, MP Vaughan,2007-2007,2007,2007,1,0,27,27,27,0,0,England,KP Pietersen & MP Vaughan
A Flintoff, LJ Wright,2007-2007,2007,2007,1,0,26,26,26,0,0,England,A Flintoff & LJ Wright
PD Collingwood, SM Davies,2010-2011,2010,2011,2,0,25,13,12.5,0,0,England,PD Collingwood & SM Davies
RS Bopara, DR Briggs,2014-2014,2014,2014,1,1,24,24*,-,0,0,England,RS Bopara & DR Briggs
A Flintoff, KP Pietersen,2007-2007,2007,2007,1,0,24,24,24,0,0,England,A Flintoff & KP Pietersen
P Mustard, KP Pietersen,2008-2008,2008,2008,2,0,24,19,12,0,0,England,P Mustard & KP Pietersen
SG Borthwick, JC Buttler,2011-2011,2011,2011,1,0,23,23,23,0,0,England,SG Borthwick & JC Buttler
JW Dernbach, ST Finn,2012-2013,2012,2013,3,1,23,20,11.5,0,0,England,JW Dernbach & ST Finn
AD Hales, DJ Willey,2018-2018,2018,2018,1,1,23,23*,-,0,0,England,AD Hales & DJ Willey
IR Bell, MP Vaughan,2007-2007,2007,2007,1,0,22,22,22,0,0,England,IR Bell & MP Vaughan
ST Finn, JC Tredwell,2013-2013,2013,2013,1,0,22,22,22,0,0,England,ST Finn & JC Tredwell
AD Mascarenhas, KP Pietersen,2009-2009,2009,2009,2,0,22,18,11,0,0,England,AD Mascarenhas & KP Pietersen
AU Rashid, BA Stokes,2015-2018,2015,2018,2,1,22,22*,22,0,0,England,AU Rashid & BA Stokes
A Flintoff, ME Trescothick,2005-2005,2005,2005,1,0,21,21,21,0,0,England,A Flintoff & ME Trescothick
MJ Prior, IJL Trott,2007-2007,2007,2007,2,0,21,13,10.5,0,0,England,MJ Prior & IJL Trott
TT Bresnan, JC Buttler,2011-2014,2011,2014,5,1,20,9,5,0,0,England,TT Bresnan & JC Buttler
SCJ Broad, KP Pietersen,2012-2012,2012,2012,1,1,20,20*,-,0,0,England,SCJ Broad & KP Pietersen
JC Buttler, LS Livingstone,2017-2017,2017,2017,2,0,20,20,10,0,0,England,JC Buttler & LS Livingstone
JC Buttler, BA Stokes,2011-2017,2011,2017,4,1,20,9*,6.66,0,0,England,JC Buttler & BA Stokes
AN Cook, JL Denly,2009-2009,2009,2009,2,0,20,20,10,0,0,England,AN Cook & JL Denly
RS Bopara, C Kieswetter,2010-2012,2010,2012,4,0,19,13,4.75,0,0,England,RS Bopara & C Kieswetter
SCJ Broad, AU Rashid,2009-2009,2009,2009,1,0,19,19,19,0,0,England,SCJ Broad & AU Rashid
SCJ Broad, CP Schofield,2007-2007,2007,2007,2,1,19,11*,19,0,0,England,SCJ Broad & CP Schofield
JL Denly, IJL Trott,2010-2010,2010,2010,2,0,19,12,9.5,0,0,England,JL Denly & IJL Trott
AD Hales, KP Pietersen,2011-2011,2011,2011,1,0,19,19,19,0,0,England,AD Hales & KP Pietersen
AD Mascarenhas, CP Schofield,2007-2007,2007,2007,3,1,19,15*,9.5,0,0,England,AD Mascarenhas & CP Schofield
TT Bresnan, MH Yardy,2010-2011,2010,2011,3,0,18,14,6,0,0,England,TT Bresnan & MH Yardy
PD Collingwood, C Kieswetter,2010-2010,2010,2010,2,0,18,15,9,0,0,England,PD Collingwood & C Kieswetter
JS Foster, GP Swann,2009-2009,2009,2009,1,0,18,18,18,0,0,England,JS Foster & GP Swann
CJ Jordan, AU Rashid,2016-2018,2016,2018,3,1,18,13*,9,0,0,England,CJ Jordan & AU Rashid
CJ Jordan, MA Wood,2018-2018,2018,2018,1,1,18,18*,-,0,0,England,CJ Jordan & MA Wood
AU Rashid, CR Woakes,2015-2015,2015,2015,1,1,18,18*,-,0,0,England,AU Rashid & CR Woakes
TT Bresnan, LJ Wright,2010-2014,2010,2014,2,1,17,9,17,0,0,England,TT Bresnan & LJ Wright
JC Buttler, KP Pietersen,2012-2012,2012,2012,1,0,17,17,17,0,0,England,JC Buttler & KP Pietersen
PD Collingwood, VS Solanki,2005-2005,2005,2005,1,0,17,17,17,0,0,England,PD Collingwood & VS Solanki
JWM Dalrymple, MH Yardy,2006-2006,2006,2006,1,0,17,17,17,0,0,England,JWM Dalrymple & MH Yardy
GJ Batty, AJ Strauss,2009-2009,2009,2009,1,0,16,16,16,0,0,England,GJ Batty & AJ Strauss
SM Davies, EJG Morgan,2010-2011,2010,2011,2,0,16,14,8,0,0,England,SM Davies & EJG Morgan
CMW Read, MH Yardy,2006-2006,2006,2006,1,0,16,16,16,0,0,England,CMW Read & MH Yardy
JM Bairstow, MJ Lumb,2013-2013,2013,2013,1,0,15,15,15,0,0,England,JM Bairstow & MJ Lumb
RS Bopara, SCJ Broad,2014-2014,2014,2014,1,0,15,15,15,0,0,England,RS Bopara & SCJ Broad
A Flintoff, JN Snape,2007-2007,2007,2007,1,0,15,15,15,0,0,England,A Flintoff & JN Snape
AD Mascarenhas, GP Swann,2008-2009,2008,2009,2,0,15,15,7.5,0,0,England,AD Mascarenhas & GP Swann
MM Ali, SW Billings,2015-2016,2015,2016,2,0,14,12,7,0,0,England,MM Ali & SW Billings
JM Bairstow, JE Root,2015-2018,2015,2018,2,0,14,11,7,0,0,England,JM Bairstow & JE Root
IR Bell, PD Collingwood,2007-2007,2007,2007,1,0,14,14,14,0,0,England,IR Bell & PD Collingwood
RS Bopara, JW Dernbach,2014-2014,2014,2014,1,0,14,14,14,0,0,England,RS Bopara & JW Dernbach
AD Hales, BA Stokes,2014-2018,2014,2018,2,0,14,8,7,0,0,England,AD Hales & BA Stokes
SI Mahmood, MH Yardy,2006-2006,2006,2006,1,1,14,14*,-,0,0,England,SI Mahmood & MH Yardy
JC Buttler, LE Plunkett,2017-2017,2017,2017,1,0,13,13,13,0,0,England,JC Buttler & LE Plunkett
GP Swann, CR Woakes,2011-2011,2011,2011,1,0,13,13,13,0,0,England,GP Swann & CR Woakes
JC Buttler, AU Rashid,2016-2016,2016,2016,1,0,12,12,12,0,0,England,JC Buttler & AU Rashid
MJ Lumb, KP Pietersen,2010-2010,2010,2010,1,0,12,12,12,0,0,England,MJ Lumb & KP Pietersen
LE Plunkett, AU Rashid,2017-2018,2017,2018,2,0,12,12,6,0,0,England,LE Plunkett & AU Rashid
AU Rashid, MA Wood,2018-2018,2018,2018,1,1,12,12*,-,0,0,England,AU Rashid & MA Wood
RJ Sidebottom, GP Swann,2008-2008,2008,2008,1,1,12,12*,-,0,0,England,RJ Sidebottom & GP Swann
BA Stokes, DJ Willey,2015-2015,2015,2015,1,0,12,12,12,0,0,England,BA Stokes & DJ Willey
SW Billings, JM Vince,2015-2015,2015,2015,1,0,11,11,11,0,0,England,SW Billings & JM Vince
PD Collingwood, JS Foster,2009-2009,2009,2009,1,0,11,11,11,0,0,England,PD Collingwood & JS Foster
TK Curran, CJ Jordan,2017-2018,2017,2018,2,1,11,10,11,0,0,England,TK Curran & CJ Jordan
LA Dawson, EJG Morgan,2018-2018,2018,2018,1,0,11,11,11,0,0,England,LA Dawson & EJG Morgan
A Flintoff, AD Mascarenhas,2007-2007,2007,2007,2,1,11,7,11,0,0,England,A Flintoff & AD Mascarenhas
EJG Morgan, DJ Willey,2018-2018,2018,2018,1,0,11,11,11,0,0,England,EJG Morgan & DJ Willey
LE Plunkett, DJ Willey,2015-2018,2015,2018,3,1,11,10*,5.5,0,0,England,LE Plunkett & DJ Willey
JM Bairstow, KP Pietersen,2012-2012,2012,2012,1,0,10,10,10,0,0,England,JM Bairstow & KP Pietersen
IR Bell, PA Nixon,2007-2007,2007,2007,1,0,10,10,10,0,0,England,IR Bell & PA Nixon
TT Bresnan, JW Dernbach,2014-2014,2014,2014,1,1,10,10*,-,0,0,England,TT Bresnan & JW Dernbach
TT Bresnan, JC Tredwell,2014-2014,2014,2014,1,0,10,10,10,0,0,England,TT Bresnan & JC Tredwell
SCJ Broad, JC Tredwell,2014-2014,2014,2014,2,0,10,10,5,0,0,England,SCJ Broad & JC Tredwell
MM Ali, RS Bopara,2014-2014,2014,2014,1,0,9,9,9,0,0,England,MM Ali & RS Bopara
TT Bresnan, GO Jones,2006-2006,2006,2006,1,1,9,9*,-,0,0,England,TT Bresnan & GO Jones
